year,period,very_active_pct,weekly_pct,less_than_weekly_pct,inactive_pct,sport_accidents_total_thousands,sport_accidents_uvg_thousands,uvg_cost_mio_chf,uvg_cost_real_mio_chf_1988,direct_cost_total_population_mio_chf,indirect_cost_total_population_mio_chf,total_material_cost_population_mio_chf,note
1978,Avant COVID,22,28,19,30,,,,,,,,
1979,Avant COVID,,,,,,,,,,,,
1980,Avant COVID,,,,,,,,,,,,
1981,Avant COVID,,,,,,,,,,,,
1982,Avant COVID,,,,,,,,,,,,
1983,Avant COVID,,,,,,,,,,,,
1984,Avant COVID,29,24,24,23,,,,,,,,
1985,Avant COVID,,,,,,,,,,,,
1986,Avant COVID,,,,,,,,,,,,
1987,Avant COVID,,,,,,,,,,,,
1988,Avant COVID,,,,,,,355,355,,,,
1989,Avant COVID,,,,,,,390,378,,,,
1990,Avant COVID,29,25,20,26,,,407,374,,,,
1991,Avant COVID,,,,,,,484,420,,,,
1992,Avant COVID,,,,,,,561,468,,,,
1993,Avant COVID,,,,,,,559,452,,,,
1994,Avant COVID,30,25,23,22,,,520,417,,,,
1995,Avant COVID,,,,,,,551,434,,,,
1996,Avant COVID,,,,,,,538,420,,,,
1997,Avant COVID,,,,,,,585,455,,,,
1998,Avant COVID,,,,,,,577,448,,,,
1999,Avant COVID,,,,,,,556,428,,,,
2000,Avant COVID,42,21,10,27,370,148,557,422,,,,
2001,Avant COVID,,,,,379,149,612,461,,,,
2002,Avant COVID,,,,,376,154,645,481,,,,
2003,Avant COVID,,,,,393,168,737,547,,,,
2004,Avant COVID,,,,,389,157,718,528,,,,
2005,Avant COVID,,,,,379,150,692,503,,,,
2006,Avant COVID,,,,,385,154,728,524,,,,
2007,Avant COVID,,,,,387,157,713,509,,,,
2008,Avant COVID,50,17,6,27,403,168,850,593,,,,
2009,Avant COVID,,,,,410,174,867,608,,,,
2010,Avant COVID,,,,,408,174,880,613,,,,
2011,Avant COVID,,,,,407,173,841,584,,,,
2012,Avant COVID,,,,,407,175,898,628,,,,
2013,Avant COVID,,,,,412,181,994,697,,,,
2014,Avant COVID,52,17,5,26,418,186,1040,729,,,,
2015,Avant COVID,,,,,416,186,1063,754,1466,1426,2892,
2016,Avant COVID,,,,,414,184,1115,794,1494,1493,2987,
2017,Avant COVID,,,,,432,192,1082,767,1810,1470,3280,
2018,Avant COVID,,,,,437,197,1152,808,1603,1542,3145,
2019,Avant COVID,,,,,445,200,1176,822,1659,1548,3207,"Dernière année complète avant la pandémie : niveau élevé d’activité, d’accidents et de coûts."
2020,COVID,57,18,9,16,401,165,1099,774,1489,1502,2991,"Début de la pandémie : restrictions, baisse des accidents et recul de certaines pratiques sportives."
2021,COVID,,,,,418,174,1079,755,1527,1271,2798,"Pandémie : les restrictions restent visibles, avec des coûts et accidents encore réduits."
2022,Après COVID,53,18,11,18,449,210,1206,821,1656,1625,3281,"Dernière année avec données complètes pour les accidents et les coûts totaux : les accidents atteignent 449 000 blessés et les coûts totaux population dépassent 3,2 milliards CHF."
2023,Après COVID,,,,,,210,1270,847,,,,"Dernière observation disponible pour les coûts UVG : 1,27 milliard CHF. Les autres indicateurs ne sont pas disponibles pour 2023."
